distance,gradient,time,climb,year,VAM
13.8,8.0,2348.0,Alpe d'huez,2022,1692.6746166950595
28.5,5.2,4545.0,Croix de fer,2022,1173.861386138614
6.83,8.83,1183.0,super planche des Belles Filles,2022,1835.2666103127644
13.25,8.03,2194.0,Hautacam,2022,1745.8113035551503
10.24,8.39,1798.0,Spandelles,2022,1720.1833147942157
6.92,8.4,1152.0,Peyragudes,2022,1816.4999999999998
9.3,7.9,1612.0,Peguere,2022,1640.7692307692312
11.9,7.1,2000.0000000000002,Telegraphe,2022,1520.8199999999997
17.9,6.9,2926.0,Galibier,2022,1519.6035543403964
11.3,9.2,2152.0,Granon,2022,1739.1078066914497
12.0,6.5,1800.0,Aspin,2022,1560.0
10.7,7.3,1584.0,Azet,2022,1775.2272727272727
13.8,8.0,2348.0,AlpeDuez,2022,1692.6746166950595
15.6,8.77,2904.0,Ventoux,2021,1696.0165289256197
15.92,8.79,2943.0,Portet,2021,1711.7651376146785
17.0,7.4,2952.0,Tourmalet,2021,1534.1463414634147
7.5,8.3,1345.0,ValLouron,2021,1666.1710037174726
9.8,7.7,1670.0,Pyersourde,2021,1626.6826347305391
13.4,7.4,2137.0,Luz Ardiden,2021,1670.4539073467479
10.8,5.8,1550.0,Envalira,2021,1454.8645161290322
6.5,8.6,1181.0,Beixalis,2021,1703.9796782387807
6.1,8.1,1200.0,Mont-Saxonnes,2021,1482.2999999999997
9.1,8.9,1628.0,Romme,2021,1790.933660933661
7.5,8.5,1313.0,Colombiere,2021,1747.905559786748
6.1,8.1,1200.0,Mont-Saxonnes,2021,1482.2999999999997
5.9,8.5,970.0000000000001,Belles Filles,2020,1861.237113402062
19.4,6.0,2945.0,Roselend,2020,1422.886247877759
14.8,6.4,2445.0,Saisies,2020,1394.6503067484666
7.1,6.7,1195.0,Aravis,2020,1433.071129707113
6.1,11.1,1275.0,Glieres,2020,1911.811764705882
19.3,7.9,3645.0,Madeleine,2020,1505.8765432098767
21.5,7.7,3665.0000000000005,Loze,2020,1626.1391541609821
9.8,7.7,1475.0,Peyresourde,2020,1841.7355932203393
9.3,7.6,1470.0,Marie-Blanque,2020,1730.9387755102043
11.3,8.1,2080.0,SelleFromentel,2020,1584.173076923077
6.1,9.2,1232.0,Biche,2020,1639.8701298701299
17.6,7.1,2784.0,GrandColombiere,2020,1615.8620689655174
33.4,5.5,4636.0,thorens,2019,1426.48835202761
12.8,7.5,2130.0,Iseran,2019,1622.5352112676057
8.4,7.6,1747.0,Vars,2019,1315.535203205495
14.1,7.1,2455.0,Izoard,2019,1468.0081466395113
8.6,6.8,1346.0,Galibier,2019,1564.1010401188705
11.4,7.0,2150.0,Lers,2019,1336.1860465116279
9.3,7.9,1645.0,Peguere,2019,1607.8541033434653
11.1,7.1,1683.0,Albis,2019,1685.7754010695185
11.8,7.7,2034.0000000000002,Soulor,2019,1608.141592920354
18.9,7.4,3073.0,Tourmalet,2019,1638.4510250569476
9.8,7.7,1775.0,Peyresourde,2019,1530.4563380281693
10.4,7.8,1998.0000000000002,Hourquette,2019,1461.6216216216217
7.0,7.5,1300.0,Alsace,2019,1453.8461538461538
7.0,8.7,1202.0,Planche,2019,1823.96006655574
12.0,6.5,2080.0,Aspin,2018,1350.0
17.0,7.4,3054.0,Tourmalet,2018,1482.907662082515
7.3,8.0,1250.0,Soulor,2018,1681.92
